Captura,Web,Evento,Titulo,Categoria,Novedad,Ubicación,Localidad,Precio,Descuento,Fechas,Fecha_inicio,Fecha_fin,Duracion,Idioma,Publico,Puntuación,Valoración,Opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Mismo instante,Impro,,Artespacio Plot Point - Sala K,Madrid,10,4,12 abr al 26 abr,2019/04/12,2019/04/26,75 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,No te mates en mi bar,Teatro,,La Usina,Madrid,10,3,12 abr al 26 abr,2019/04/12,2019/04/26,NA,,Adultos,10,Extraordinario,1 opinión
07/04/2019 17:00,Atrapalo,teatro-danza,Tras los pasos de Peter Pan,Teatro,,El Teatret,Valencia,6,,,2019/04/07,2019/04/07,50 minutos,Castellano,Infantil,6.6,Correcto,5 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Monólogos de Sala Opera en Casino Cirsa Valencia,Monólogos,,Casino Cirsa Valencia,Valencia,"9,95","5,05",13 abr al 01 jun,2019/04/13,2019/06/01,90 minutos,Español,Adultos,8.6,Excelente,3202 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Chicas de juernes,Teatro,,Teatro de las Aguas,Madrid,12,2,11 abr al 25 abr,2019/04/11,2019/04/25,80 minutos,Español,Adultos,9.1,Extraordinario,1 opinión
07/04/2019 17:00,Atrapalo,teatro-danza,La Maricarmen,Teatro,,Sala Intemperie Teatro,Madrid,10,4,10 abr al 11 abr,2019/04/10,2019/04/11,70 minutos,,Adultos,8.6,Excelente,3 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Peer Gynt,Teatro,,OFF de La Latina,Madrid,10,4,12 abr al 26 abr,2019/04/12,2019/04/26,80 minutos,,Adultos,9.8,Extraordinario,29 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Polvorones,Comedia,,Teatro Lara - Sala Lola Membrives,Madrid,12,4,13 abr al 29 jun,2019/04/13,2019/06/29,75 minutos,Español,Adultos,8.5,Excelente,80 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Raúl Navareño - Échale confeti,Monólogos,,Teatro Chocita del Loro - Senator,Madrid,15,3,,2019/04/19,2019/04/19,1h y 30min,,Adultos,9.4,Extraordinario,204 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Tiziana,Teatro,,Nave 73,Madrid,12,2,10 abr al 24 abr,2019/04/10,2019/04/24,NA,,Adultos,10,Extraordinario,2 opiniones
